rest_id,zomato_url,name,city,area,rating,rating_count,telephone,cusine,cost_for_two,address,online_order,table_reservation,delivery_only,famous_food,longitude,latitude
74746,https://www.zomato.com/lucknow/tamil-nadu-dosa-aliganj,Tamil Nadu Dosa,Lucknow,Aliganj,4.0,192.0,+91 6307159004,South Indian,300.0,"House B -69, Sector-H, Puraniya Chauraha, Aliganj, Lucknow",True,False,False,"Masala Dosa , Vada , Idli",80.94295550000001,26.894550800000005
74764,https://www.zomato.com/lucknow/shree-prem-mishtaan-bhandar-chowk,Shree Prem Mishtaan Bhandar,Lucknow,Chowk,4.0,251.0,+91 9369142653,"Street Food, Desserts",250.0,"311/6, Kamla Nehru Marg, Chowk, Lucknow",True,False,False,"Basket Chat , Chaat , Chole Bhature , Lassi , Kulfi , Panipuri",80.9092945978,26.8658187233
74786,https://www.zomato.com/lucknow/on-high-hotel-silvete-hazratganj,On High - Hotel Silvete,Lucknow,Hazratganj,4.1,163.0,+91 9369595110,"North Indian, Chinese, Italian",1100.0,"Hotel Silvete, 4 A, Rana Pratap Marg, Hazratganj, Lucknow",True,False,False,"Noodle , Dal Makhani",80.942879878,26.8569934631
74805,https://www.zomato.com/lucknow/city-dabha-family-restaurant-aliganj,City Dabha & Family Restaurant,Lucknow,Aliganj,3.8,202.0,+91 7905120760 +91 7080913508,North Indian,100.0,"Near Pitambara Guest House, Aliganj, Lucknow",True,False,False,Not available,80.9551211447,26.8996794838
74822,https://www.zomato.com/lucknow/milan-biryani-corner-1-aliganj,Milan Biryani Corner,Lucknow,Aliganj,3.8,263.0,+91 9506228148,"Biryani, Mughlai",400.0,"Sector E, Aliganj, Lucknow",True,False,False,"Chicken Masala , Chicken Biryani , Mutton Biryani",80.946531035,26.8901410043
74842,https://www.zomato.com/lucknow/radhey-lal-premium-sweets-chowk,Radhey Lal Premium Sweets,Lucknow,Chowk,3.8,310.0,+91 9936419534,"Chinese, South Indian, Street Food, Desserts",300.0,"AB 7, Kasturba Market, Chowk, Lucknow",False,False,False,"Rasmalai , Pav Bhaji , Thali , Panipuri",80.90963959689999,26.865813339699997
74860,https://www.zomato.com/lucknow/the-square-novotel-gomti-nagar,The Square - Novotel,Lucknow,Gomti Nagar,4.2,149.0,0522 7157094 +91 7800004086,North Indian,2000.0,Gomti Nagar,False,False,False,"Biryani , Nalli Nihari , Noodle , Custard",81.0235332325,26.851750503
74879,https://www.zomato.com/lucknow/wok-to-remember-hazratganj,Wok to Remember,Lucknow,Hazratganj,4.2,244.0,+91 6390017801 +91 6390017802,Asian,550.0,"27/1A, Gokhle Marg, Lucknow",True,False,False,"Noodle , Hakka Noodles , Kung Pao Chicken , Khao Suey , Momos , Chowmein , Sour Soup",80.960315913,26.8572836015
74903,https://www.zomato.com/lucknow/pankaj-non-veg-point-hazratganj,Pankaj Non Veg Point,Lucknow,Hazratganj,3.9,375.0,+91 8090916195 +91 7905752029,"North Indian, Chinese",350.0,"25, Near ICICI Bank, Naval Kishore Road, Hazratganj, Lucknow",False,False,False,Not available,80.9437998757,26.849864198400002
74928,https://www.zomato.com/lucknow/wafl-caf̩-gomti-nagar,WAFL Caf̩,Lucknow,Gomti Nagar,4.3,178.0,0522 24305181,"Desserts, Bakery, Beverages, Fast Food, Continental",300.0,"3/186, Vivek Khand, Gomti Nagar, Lucknow",True,False,False,"Coffee , Bubble Waffle , Chocolate Brownie Shake , Pizza , Belgian Waffles , Pie , Burgers",80.9980881214,26.8572267704
74947,https://www.zomato.com/lucknow/the-g-t-road-gomti-nagar,The G.T. Road,Lucknow,Gomti Nagar,3.8,143.0,0522 6673689,"North Indian, Mughlai",1000.0,"Rohtas Summit, TCG 3/3, Vibhuti Khand Gomti Nagar, Lucknow",False,True,False,"Jalebi , Kadhai Paneer , Gulab Jamun , Biryani , Chaat , Pindi Chole , Noodle",0.0,0.0
74963,https://www.zomato.com/lucknow/the-concept-lounge-and-disc-gomti-nagar,The Concept Lounge And Disc,Lucknow,Gomti Nagar,3.5,211.0,+91 7607540662,"Fast Food, Beverages",1000.0,"Vijay Shree Complex, Patrkarpuram Road, Gomti Nagar, Lucknow",False,False,False,"Honey Chilli Potatoes , Noodle",80.9974286333,26.8531121166
74985,https://www.zomato.com/lucknow/sardar-ji-ke-mashoor-chole-bhature-aashiana,Sardar Ji Ke Mashoor Chole Bhature,Lucknow,South Lucknow,4.1,176.0,+91 8881077522,"North Indian, Fast Food",250.0,"Sector- k , 722 , Aashiana",True,False,True,"Kulcha , Chole Bhature , Naan",80.913541093,26.794389153
75009,https://www.zomato.com/lucknow/chuck-bungalow-gomti-nagar,Chuck Bungalow,Lucknow,Gomti Nagar,4.3,161.0,+91 9838000440,"Continental, Italian, Mexican",600.0,"Corporation Bank Building, Rail vihar tiraha , near rail vihar colony, gomtinagar , lucknow",True,False,False,"Pizza , Burgers , Red Sauce Pasta , Kit Kat Shake , Sandwich , Cold Coffee , Waffles",81.03867262600001,26.859920836300002
75026,https://www.zomato.com/lucknow/grill-inn-alambagh,Grill Inn,Lucknow,Alambagh,3.5,285.0,+91 5224000486 +91 9005734268,"Fast Food, Burger, Pizza",450.0,"560/73, Opposite Balaji Complex, Krishna Nagar, Alambagh, Lucknow",True,False,False,"Burgers , Pizza , Pasta , Garlic Bread",80.8924349025,26.7958261503
75045,https://www.zomato.com/lucknow/awadhyana-restaurant-alambagh,Awadhyana Restaurant,Lucknow,Alambagh,3.4,207.0,+91 5224002444 +91 9129888512,"North Indian, Chinese, Mughlai",600.0,"B-72, Sector- B, Beside Phoenix Mall Kanpur Road, Alambagh, Lucknow",True,False,False,"Paneer Tikka , Naan , Butter Chicken , Mutton Biryani , Dal Handi , Veg Manchurian , Dal Makhani",80.8975143358,26.7987673744
75064,https://www.zomato.com/lucknow/cafe-frangipani-1-gomti-nagar,Cafe Frangipani,Lucknow,Gomti Nagar,3.6,254.0,+91 9129997905 0522 4241366,"Chinese, Cafe, Sandwich, Beverages, North Indian, Italian, Mughlai, Pizza",500.0,"3/61, Vastu Khand, Gomti Nagar, Lucknow",True,False,False,"Pizza , Burgers , Cold Coffee , Nachos , Chai , Sandwich , Spring Roll",81.0317119583,26.8655612075
75083,https://www.zomato.com/lucknow/jux-pux-hazratganj,Jux Pux,Lucknow,Hazratganj,3.9,100.0,0522 4304411,"Street Food, Sandwich, Fast Food, Beverages, Italian, Burger, Rolls, Pizza",200.0,"4th Floor, Saharganj Mall, Hazratganj, Lucknow",True,False,False,"Burgers , White Sauce Pasta , Corn Chaat , Hot Dog , Mixed Sauce Pasta , Nachos Chaat , Italian Maggi",80.945758,26.855313
75101,https://www.zomato.com/lucknow/the-american-pizza-1-aliganj,The American Pizza,Lucknow,Aliganj,3.4,289.0,+91 9152241178 +91 5224247666,Pizza,500.0,"Sahara India Bhavan, Kapoorthla, Sector A, Chandralok, Lucknow",True,False,False,"Garlic Bread , American Pizza",80.9477145597,26.8820446254
75120,https://www.zomato.com/lucknow/mughal-zaika-aminabad-aminabad,Mughal Zaika Aminabad,Lucknow,Aminabad,4.0,225.0,00 05224308575,Mughlai,500.0,"169/13, Old Nazirabad, Khyalganj, Aminabad, Lucknow",True,False,False,"Shahi Tukda , Kheer , Paratha , Chicken Tikka , Nihari , Chicken Biryani , Butter Chicken",80.9275054559,26.8485324592
75139,https://www.zomato.com/lucknow/prem-non-veg-point-lalbagh,Prem Non Veg Point,Lucknow,Lalbagh,3.8,339.0,+91 9839012277,"North Indian, Mughlai",400.0,"2 China Gate Bazar Road, Opposite Family Court, Behind Tulsi Cinema",False,False,False,Not available,80.9359473735,26.8518300705
75158,https://www.zomato.com/lucknow/balaji-ka-dhaba-alambagh,Balaji Ka Dhaba,Lucknow,Alambagh,3.7,217.0,+91 9936966663,North Indian,300.0,"Phoenix United Mall, Parking 3, Pratap Tower, Aashiana, Alambagh",True,False,False,Not available,80.8969695121,26.7984274077
75177,https://www.zomato.com/lucknow/avantika-bakers-aashiana,Avantika Bakers,Lucknow,Aashiana,3.6,244.0,0522 2422073,Bakery,300.0,"K 306C, Kanpur Road, Sector K, Ashiyana, Lucknow, Uttar Pradesh 226012, India",True,False,False,Not available,80.9128009155,26.7872956306
75197,https://www.zomato.com/lucknow/sweet-luscious-chowk,Sweet Luscious,Lucknow,Chowk,4.0,169.0,+91 6388720443,"Bakery, Desserts",400.0,"21, Near Post Office, Khun Khun Ji Road, Chowk, Lucknow",True,False,False,"Momos , White Sauce Pasta , Noodle",80.9079622105,26.867856696500002
75213,https://www.zomato.com/lucknow/radhey-lal-sweets-aliganj,Radhey Lal Sweets,Lucknow,Aliganj,3.8,199.0,0522 3275777 0522 4011573,Desserts,150.0,"MGS-22 Sector-B Kapoorthala Aliganj, Lucknow",True,False,False,"Jalebi , Chaat , Samosa , Khasta Kachori",80.9413902462,26.8861313134
75230,https://www.zomato.com/lucknow/food-paradise-aliganj,Food Paradise,Lucknow,Aliganj,3.7,175.0,080 45128595,"North Indian, Chinese, Fast Food",400.0,"Bhitauli Tiraha, IIM Road, Aliganj, Lucknow",True,False,False,Not available,80.9343896806,26.931704938400003
75246,https://www.zomato.com/lucknow/good-food-gomti-nagar,Good Food,Lucknow,Gomti Nagar,3.7,250.0,+91 6389014935 +91 6389014936,North Indian,200.0,"266, Gaytripuram (in front of gaytri madir ), Near Chaiwala.com, Sector 1, Gomti Nagar, Lucknow",True,False,False,Not available,80.998108238,26.8401818099
75266,https://www.zomato.com/lucknow/biryani-pack-gomti-nagar,Biryani Pack,Lucknow,Gomti Nagar,3.7,273.0,0788 0388880,"Awadhi, Biryani",350.0,"Sector 5, Gomti Nagar",True,False,True,"Mutton Biryani , Egg Biryani , Butter Chicken Biryani",81.0126615688,26.8417200628
75286,https://www.zomato.com/lucknow/wise-choice-restaurant-lounge-gomti-nagar,Wise Choice Restaurant & Lounge,Lucknow,Gomti Nagar,4.5,86.0,+91 7068355568,"North Indian, Chinese",800.0,"A-1/207, Vineet Khand, Opposite Jaipuria School, Gomti Nagar, Lucknow",True,False,False,"Mocktails , Chicken Rara , Pizza , Murgh Tangdi Kebab , Tikka , Noodle , Lime Soda",81.01093900000001,26.851273
75304,https://www.zomato.com/lucknow/the-lucknow-local-charbagh,The Lucknow Local,Lucknow,Charbagh,3.4,252.0,+91 5224005136 +91 7309674992,"Pizza, Fast Food",500.0,"92/206, Sudamapuri, La Touche Road, Charbagh, Lucknow",True,False,False,"Kit Kat Shake , Paneer Makhani Pizza , Red Sauce Pasta , Waffles , Latte , Oreo Shake , Nachos",80.9242878109,26.8352399337
75323,https://www.zomato.com/lucknow/garden-bakery-alambagh,Garden Bakery,Lucknow,Alambagh,4.1,185.0,0522 4959666 +91 9415036528,"Cafe, Bakery",600.0,"Plot 297, Bara Birwa, Kanpur Road, Alambagh, Lucknow",True,False,False,"Pasta , Fondant Cake",80.8948968351,26.8008125396
75342,https://www.zomato.com/lucknow/maharaja-chaap-aliganj,Maharaja Chaap,Lucknow,Aliganj,4.0,188.0,0522 6673626,"North Indian, Street Food, Biryani",500.0,"SP 1, Sector C, Opposite Regional Science Centre, Aliganj, Lucknow",True,False,False,"Vegetable Biryani , Malai Chaap , Afghani Soya Chaap , Tikka , Soya Nuggets , Mughlai Chaap , Pineapple Shake",80.939752,26.889335
75363,https://www.zomato.com/lucknow/dhorizon-restro-lounge-aliganj,D'Horizon Restro & Lounge,Lucknow,Aliganj,3.8,142.0,+91 8090142616,"North Indian, Chinese",600.0,"Floor 2, B-59, Sector H Near Puraniya Chauraha, Aliganj, Lucknow",True,False,False,"Noodle , Chicken Tikka , Strawberry Shake , White Sauce Pasta , Chicken Rara , Cheese Croquettes , Butter Naan",80.94352159649999,26.897153509699997
75382,https://www.zomato.com/lucknow/daal-mein-kala-lalbagh,Daal Mein Kala,Lucknow,Lalbagh,3.9,298.0,0522 2626420,"North Indian, Mughlai",600.0,"1, China Gate Bazar Road, Behind Tulsi Cinema, Lalbagh, Lucknow",True,False,False,"Butter Chicken , Afghan Chicken , Mutton Burra , Kadhai Murgh , Chicken Biryani , Shawarma , Saag Chicken",80.9362860024,26.8521525277
75403,https://www.zomato.com/lucknow/orchid-fortune-park-bbd-hazratganj,Orchid - Fortune Park BBD,Lucknow,Hazratganj,4.2,145.0,011 61495131,"North Indian, Continental, Chinese",1500.0,"Fortune Park BBD, Ranapratap Marg, Hazratganj, Lucknow",True,True,False,"Biryani , Shahi Tukda , Chicken Grill , Fajita , Fish Grill , Grilled Salmon , Dal Tadka",80.940742828,26.8567547713
75422,https://www.zomato.com/lucknow/classic-radhey-sweets-mahanagar,Classic Radhey Sweets,Lucknow,Mahanagar,4.0,261.0,+91 7380314444 0522 2337532,"Mithai, Fast Food, Desserts",500.0,"M 28, Ground Floor, Gole Market, Classic Chauraha, Mahanagar, Lucknow",False,False,False,"Kaju Barfi , Rasmalai , Chaat , Masala Dosa , Panipuri , Motichoor Ladoo , Gol Gappe",80.95787007359999,26.8755793662
75441,https://www.zomato.com/lucknow/barbeque-non-veg-restaurant-indira-nagar,BARBEQUE Non Veg Restaurant,Lucknow,Indira Nagar,3.4,246.0,+91 8090339900,"BBQ, Mughlai",400.0,"C-2005, Sector C, Indira Nagar, Block C, Indira Nagar, Lucknow",True,False,False,"Biryani , Chicken Masala , Malai Tikka",80.98746791479999,26.8800807736
75460,https://www.zomato.com/lucknow/chawlas-2-gomti-nagar,Chawlas 2,Lucknow,Gomti Nagar,4.1,248.0,0522 4331212 +91 8738889301,"Biryani, Chinese, Lucknowi, North Indian, Mughlai",800.0,"2/21, Vinay Khand, Gomti Nagar, Lucknow",True,True,False,"Tomato Chicken , Chicken Masala , Butter Chicken , Biryani , Cream Chicken , Paneer Tikka , Fish Finger",81.0071486235,26.8518010553
75479,https://www.zomato.com/lucknow/silver-spoon-bakers-cafe-aishbagh,Silver Spoon - Bakers & Cafe,Lucknow,Aishbagh,4.0,163.0,+91 6306998580 +91 8299580152,Bakery,200.0,"267,Aishbagh Road , Opposite Bank Of India, Aishbagh, Lucknow",True,False,False,"Momos , Pizza , Sandwich , Burgers , White Sauce Pasta , Hot Coffee , Paneer Tikka",80.9161281958,26.8396379418
75497,https://www.zomato.com/lucknow/rajdhani-non-veg-centre-aashiana,Rajdhani Non Veg Centre,Lucknow,Aashiana,3.9,221.0,+91 9889965851 +91 9336839348,"Chinese, Mughlai",300.0,"Ground Floor, 1, Khazana Market, Aashiana Colony, Lucknow",True,False,False,"Rolls , Chicken Masala , Chicken Roll , Biryani , Paratha , Murgh Kalimirch",80.9183138609,26.794784373699997
75517,https://www.zomato.com/lucknow/14greens-indira-nagar,14Greens,Lucknow,Indira Nagar,3.9,105.0,0522 4331414 +91 8429800900,"North Indian, Desserts",700.0,"14Greens, 14/1, Sector14, Near MunshiPulia Metro Station, Indira Nagar, Lucknow",True,True,False,"Biryani , Spring Roll , Mocktails , Sandwich",80.99602800000001,26.88925
75523,https://www.zomato.com/lucknow/mirage-the-lounge-hazratganj,Mirage The Lounge,Lucknow,Hazratganj,3.6,213.0,+91 7080888110 +91 7080888111,"North Indian, Chinese, Mughlai, Continental",800.0,"2A Hasan Building, Habibullah Estate, Hazratganj, Lucknow",True,False,False,"Momos , Drums Of Heaven , Pizza",80.9417660907,26.852112445
75539,https://www.zomato.com/lucknow/mr-sandwich-khurram-nagar,Mr. Sandwich,Lucknow,Khurram Nagar,3.9,107.0,+91 9984290290,"Fast Food, Sandwich",300.0,"UG, Next To AXIS Bank, Sidhi Plaza, Vikas Nagar, Near Mama Chauraha, Khurram Nagar, Lucknow",True,False,False,"Peppy Paneer Pizza , Cheese Sub , Grilled Sandwich , Hot Chocolate Coffee , Burgers , Tandoori Paneer Sandwich",80.9552881081,26.8929891731
75562,https://www.zomato.com/lucknow/siyaram-sweets-gomti-nagar,Siyaram Sweets,Lucknow,Gomti Nagar,4.0,200.0,+91 9554441777,"Mithai, Street Food",200.0,"3/463, Vishal Khand, Gomti Nagar, Lucknow",True,False,False,"Panipuri , Chaat , Chole , Jalebi , Imarti , Gulab Jamun",80.9905112162,26.8490089795
75639,https://www.zomato.com/lucknow/class-bunk-cafe-3-gomti-nagar,Class Bunk Cafe,Lucknow,Gomti Nagar,3.6,247.0,+91 7991200314,"North Indian, Italian, Mughlai, Chinese",500.0,C 1/73 Vikrant khand Gomti Nagar Lucknow near mg park,True,True,False,"Coffee , Naan , Maggi",81.0159290619,26.8683901352
75662,https://www.zomato.com/lucknow/shukla-chaat-house-hazratganj,Shukla Chaat House,Lucknow,Hazratganj,4.1,228.0,+91 9839042164,Street Food,100.0,"11 Shahnajaf Road church building, Hazratganj, Lucknow, Uttar Pradesh",True,False,False,"Panipuri , Aloo Tikki , Gol Gappe , Papdi Chaat",80.9428552724,26.849744061
75677,https://www.zomato.com/lucknow/barcelos-gomti-nagar,Barcelos,Lucknow,Gomti Nagar,4.1,145.0,+91 7355977688 0522 7197280,"Spanish, American, Italian, Portuguese",1400.0,"FC-4, Food Court, 3rd Floor, One Awadh Center (Cinepolis), Vibhuti Khand, Gomti Nagar, Lucknow",True,False,False,"Chicken Grill , Chicken Wings , Fries , Pasta , Pizza , Sandwich , Rice Bowl",81.010508,26.862628000000004
75698,https://www.zomato.com/lucknow/shri-surendra-bhojnalay-aliganj,Shri Surendra Bhojnalay,Lucknow,Aliganj,3.7,131.0,0522 6673684,North Indian,300.0,"Tarhi Khana, Sitapur Road, Near Vidanchal Mandir, Aliganj, Lucknow",True,False,False,Not available,80.93897199999999,26.901694
75716,https://www.zomato.com/lucknow/sakhawat-restaurant-kaiserbagh,Sakhawat Restaurant,Lucknow,Kaiserbagh,3.9,267.0,+91 9532199995 +91 9565020202,Lucknowi,600.0,"2, Behind Oudh Gymkhana Club, Kaiserbagh, Lucknow",True,False,False,"Mutton Biryani , Boti Kebab , Seekh Kebab , Mutton Chaap , Fish Kebab , Galauti Kebab , Boti Kabab",80.9340460226,26.852424432
75735,https://www.zomato.com/lucknow/art-of-chaap-gomti-nagar,Art of Chaap,Lucknow,Gomti Nagar,3.9,219.0,0522 6673629,North Indian,300.0,"Yash Jewellers, Vivek Khand, Gomti Nagar, Lucknow",True,False,False,"Afghani Chaap , Vegetable Biryani , Malai Chaap Tikka",80.995234251,26.8582012717
75754,https://www.zomato.com/lucknow/bombay-blue-alambagh,Bombay Blue,Lucknow,Alambagh,3.6,215.0,+91 8390221476,"North Indian, Mexican, Italian",1200.0,"3rd Floor, Phoenix United Mall, Alambagh, Lucknow",False,False,False,"Pav Bhaji , Pasta , Nachos , Onion Rings , Peri Peri Chicken , Pizza",80.8970784768,26.7987081197
75773,https://www.zomato.com/lucknow/dreamy-delicacies-aliganj,Dreamy Delicacies,Lucknow,Aliganj,4.0,95.0,00 05224319009 0522 4319009,"North Indian, Chinese, Fast Food, Seafood, Desserts, Beverages",500.0,"1/7, Vikas Nagar, Kursi Road, Aliganj, Lucknow",True,False,False,"Salad , Soya Chaap , Paneer Dhaniya Adraki , Shahi Tukda , Honey Chilli Potatoes , Dal Makhani , Paneer Tikka",80.95541015270001,26.9008940123
75789,https://www.zomato.com/lucknow/madhurima-aminabad-aminabad,Madhurima Aminabad,Lucknow,Aminabad,3.9,185.0,0522 2683288 0522 3267902,"Street Food, Desserts, South Indian, Chinese",500.0,"52 Sri Ram Road, Aminabad, Lucknow",True,False,False,"Kulfi , Pav Bhaji , Chaat , Thali , Rasmalai , Rabri , Imarti",80.9270149469,26.846005940500003
75804,https://www.zomato.com/lucknow/sky-mirage-hazratganj,Sky Mirage,Lucknow,Hazratganj,3.9,182.0,Not Available,"Continental, Italian",800.0,"5/5, Roof Top, Park Road, Hazratganj, Lucknow",True,False,False,"Drums Of Heaven , Cold Coffee , Noodle",80.949809365,26.8434326983
75823,https://www.zomato.com/lucknow/rocky-a-to-z-chinese-point-alambagh,Rocky A to Z Chinese Point,Lucknow,Alambagh,3.9,242.0,00 07800120200 00 08299457068,Chinese,300.0,"39 AB, Adarsh Nagar, Tehria Pulia, Alambagh, Lucknow",True,False,False,"Momos , Spring Roll , Noodle , Pasta",80.910973,26.819712
